Product,Shop,Category,Model,Model Number,Quantity,Cost Price,Sales Price
Vivo - Y91 3GB/32,Mobi-Point,Fresh Mobiles,Vivo - Y91 3GB/32,,1,0,12000
Vivo - Y 11 3GB/32,Mobi-Point,Fresh Mobiles,Vivo - Y 11 3GB/32,,0,0,13000
Vivo - Y 20 A 3GB/64,Mobi-Point,Fresh Mobiles,Vivo - Y 20 A 3GB/64,,1,0,15500
Vivo - Y 20 4GB/64,Mobi-Point,Fresh Mobiles,Vivo - Y 20 4GB/64,,1,0,17000
Vivo - Y 51 8GB/128,Mobi-Point,Fresh Mobiles,Vivo - Y 51 8GB/128,,1,0,22000
Vivo - V 20 8GB/128,Mobi-Point,Fresh Mobiles,Vivo - V 20 8GB/128,,1,0,28000
Vivo - V 20 SE 8GB/128,Mobi-Point,Fresh Mobiles,Vivo - V 20 SE 8GB/128,,1,0,25000
Realme - 7 6GB/64,Mobi-Point,Fresh Mobiles,Realme - 7 6GB/64,,1,0,18000
Realme - C12 3GB/32,Mobi-Point,Fresh Mobiles,Realme - C12 3GB/32,,1,0,11000
Samsung - 01 3GB/32,Mobi-Point,Fresh Mobiles,Samsung - 01 3GB/32,,1,0,10000
Samsung - M 01 S 3GB/32,Mobi-Point,Fresh Mobiles,Samsung - M 01 S 3GB/32,,1,0,11000
Samsung - M 11 3GB/32,Mobi-Point,Fresh Mobiles,Samsung - M 11 3GB/32,,1,0,13000
Samsung - A 51 8GB/128,Mobi-Point,Fresh Mobiles,Samsung - A 51 8GB/128,,1,0,30000
Poco - M 2 6GB/64,Mobi-Point,Fresh Mobiles,Poco - M 2 6GB/64,,1,0,13000
Poco - X 3 6GB/128,Mobi-Point,Fresh Mobiles,Poco - X 3 6GB/128,,1,0,21000
Redmi - 8 A Dual  3GB/64,Mobi-Point,Fresh Mobiles,Redmi - 8 A Dual  3GB/64,,1,0,10000
Redmi - 9 i 4GB/64,Mobi-Point,Fresh Mobiles,Redmi - 9 i 4GB/64,,1,0,10000
Redmi - 9 A 3GB/32,Mobi-Point,Fresh Mobiles,Redmi - 9 A 3GB/32,,1,0,9500
Redmi - 9 A 2GB/32,Mobi-Point,Fresh Mobiles,Redmi - 9 A 2GB/32,,2,0,8500
Redmi - Note 9 pro 4GB/64,Mobi-Point,Fresh Mobiles,Redmi - Note 9 pro 4GB/64,,1,0,17000
Redmi - Note 9 pro max 6GB/64,Mobi-Point,Fresh Mobiles,Redmi - Note 9 pro max 6GB/64,,1,0,19000
Nokia - 5310  - SIM -1,Mobi-Point,Fresh Mobiles,Nokia - 5310  - SIM -1,,1,0,4000
Nokia - 105 - SIM -1,Mobi-Point,Fresh Mobiles,Nokia - 105 - SIM -1,,2,0,1350
Nokia - 110 - SIM - 2,Mobi-Point,Fresh Mobiles,Nokia - 110 - SIM - 2,,1,0,2100
Nokia - 150 -SIM -2,Mobi-Point,Fresh Mobiles,Nokia - 150 -SIM -2,,1,0,2800
Nokia - 105 -SIM -2,Mobi-Point,Fresh Mobiles,Nokia - 105 -SIM -2,,2,0,1600
Samsung - Gurumusik 2,Mobi-Point,Fresh Mobiles,Samsung - Gurumusik 2,,2,0,1950
Samsung - Guru FM Plus,Mobi-Point,Fresh Mobiles,Samsung - Guru FM Plus,,2,0,1662
Samsung - Guru 1200,Mobi-Point,Fresh Mobiles,Samsung - Guru 1200,,2,0,1410
Samsung - Metro 313,Mobi-Point,Fresh Mobiles,Samsung - Metro 313,,2,0,2340
