Product,Shop,Category,Model,Model Number,Quantity,Cost Price,Sales Price
Oppo - A7 Leather Case,Mobi-Point,Back Case,Oppo - A7 Leather Case,,0,0,0
Oppo - F5 Leather Case,Mobi-Point,Back Case,Oppo - F5 Leather Case,,0,0,0
Oppo - F15 Leather Case,Mobi-Point,Back Case,Oppo - F15 Leather Case,,0,0,0
Realme - C11 Printed Case,Mobi-Point,Back Case,Realme - C11 Printed Case,,2,0,0
Realme - C12 Printed Case,Mobi-Point,Back Case,Realme - C12 Printed Case,,2,0,0
Realme - C15 Printed Case,Mobi-Point,Back Case,Realme - C15 Printed Case,,1,0,0
Realme - C3 Printed Case,Mobi-Point,Back Case,Realme - C3 Printed Case,,2,0,0
Realme - C2 Printed Case,Mobi-Point,Back Case,Realme - C2 Printed Case,,2,0,0
Realme - 7 Printed Case,Mobi-Point,Back Case,Realme - 7 Printed Case,,0,0,0
Realme - 7 PRO Printed Case,Mobi-Point,Back Case,Realme - 7 PRO Printed Case,,0,0,0
Realme - XT Printed Case,Mobi-Point,Back Case,Realme - XT Printed Case,,1,0,0
Realme - 5 Printed Case,Mobi-Point,Back Case,Realme - 5 Printed Case,,2,0,0
Realme - 2 Printed Case,Mobi-Point,Back Case,Realme - 2 Printed Case,,0,0,0
Realme - 6 Printed Case,Mobi-Point,Back Case,Realme - 6 Printed Case,,2,0,0
Realme - 6 PRO Printed Case,Mobi-Point,Back Case,Realme - 6 PRO Printed Case,,1,0,0
Realme - 2 PRO Printed Case,Mobi-Point,Back Case,Realme - 2 PRO Printed Case,,0,0,0
Realme - 5 PRO Printed Case,Mobi-Point,Back Case,Realme - 5 PRO Printed Case,,0,0,0
Realme - 5i Printed Case,Mobi-Point,Back Case,Realme - 5i Printed Case,,0,0,0
Realme - 5s Printed Case,Mobi-Point,Back Case,Realme - 5s Printed Case,,0,0,0
Realme - NARZO 10 Printed Case,Mobi-Point,Back Case,Realme - NARZO 10 Printed Case,,0,0,0
Realme - NARZO 2O PRO Printed Case,Mobi-Point,Back Case,Realme - NARZO 2O PRO Printed Case,,1,0,0
