Product,Shop,Category,Model,Model Number,Quantity,Cost Price,Sales Price
Samsung - M21,Mobi-Point,Tempered Glass,Samsung - M21,,5,0,0
Samsung - M11,Mobi-Point,Tempered Glass,Samsung - M11,,1,0,0
Samsung - S10+,Mobi-Point,Tempered Glass,Samsung - S10+,,1,0,0
Samsung - S8,Mobi-Point,Tempered Glass,Samsung - S8,,1,0,0
Samsung - S8+,Mobi-Point,Tempered Glass,Samsung - S8+,,1,0,0
Samsung - S9+,Mobi-Point,Tempered Glass,Samsung - S9+,,1,0,0
Samsung - J6+,Mobi-Point,Tempered Glass,Samsung - J6+,,1,0,0
Samsung - J7 PRIME,Mobi-Point,Tempered Glass,Samsung - J7 PRIME,,2,0,0
Samsung - J7 MAX,Mobi-Point,Tempered Glass,Samsung - J7 MAX,,2,0,0
Realme - 7,Mobi-Point,Tempered Glass,Realme - 7,,2,0,0
Realme - 5,Mobi-Point,Tempered Glass,Realme - 5,,2,0,0
Realme - 7 PRO,Mobi-Point,Tempered Glass,Realme - 7 PRO,,2,0,0
Realme - 6 PRO,Mobi-Point,Tempered Glass,Realme - 6 PRO,,2,0,0
Honor - 7X,Mobi-Point,Tempered Glass,Honor - 7X,,1,0,0
Honor - 8 LITE,Mobi-Point,Tempered Glass,Honor - 8 LITE,,1,0,0
OnePlus - 3T,Mobi-Point,Tempered Glass,OnePlus - 3T,,3,0,0
OnePlus - 5T,Mobi-Point,Tempered Glass,OnePlus - 5T,,1,0,0
OnePlus - 7T,Mobi-Point,Tempered Glass,OnePlus - 7T,,2,0,0
OnePlus - 8T,Mobi-Point,Tempered Glass,OnePlus - 8T,,2,0,0
OnePlus - 5,Mobi-Point,Tempered Glass,OnePlus - 5,,3,0,0
OnePlus - 3,Mobi-Point,Tempered Glass,OnePlus - 3,,3,0,0
OnePlus - 6,Mobi-Point,Tempered Glass,OnePlus - 6,,2,0,0
OnePlus - 7,Mobi-Point,Tempered Glass,OnePlus - 7,,2,0,0
OnePlus - NORD,Mobi-Point,Tempered Glass,OnePlus - NORD,,1,0,0
Redmi - Note 7,Mobi-Point,Tempered Glass,Redmi - Note 7,,2,0,0
Redmi - Note 6,Mobi-Point,Tempered Glass,Redmi - Note 6,,1,0,0
Redmi - Note 9,Mobi-Point,Tempered Glass,Redmi - Note 9,,2,0,0
Redmi - Note 8,Mobi-Point,Tempered Glass,Redmi - Note 8,,2,0,0
Redmi - Note 8 PRO,Mobi-Point,Tempered Glass,Redmi - Note 8 PRO,,2,0,0
Redmi - Note 9 PRO MAX,Mobi-Point,Tempered Glass,Redmi - Note 9 PRO MAX,,2,0,0
Redmi - MI 6/6A,Mobi-Point,Tempered Glass,Redmi - MI 6/6A,,2,0,0
Redmi - 9A/9C,Mobi-Point,Tempered Glass,Redmi - 9A/9C,,2,0,0
Oppo - A3S,Mobi-Point,Tempered Glass,Oppo - A3S,,1,0,0
Oppo - A12,Mobi-Point,Tempered Glass,Oppo - A12,,2,0,0
Oppo - F9,Mobi-Point,Tempered Glass,Oppo - F9,,2,0,0
Oppo - F17 PRO,Mobi-Point,Tempered Glass,Oppo - F17 PRO,,2,0,0
Oppo - F11 PRO,Mobi-Point,Tempered Glass,Oppo - F11 PRO,,2,0,0
Oppo - F17,Mobi-Point,Tempered Glass,Oppo - F17,,2,0,0
Poco - X3,Mobi-Point,Tempered Glass,Poco - X3,,5,0,0
IPhone - 12,Mobi-Point,Tempered Glass,IPhone - 12,,2,0,0
IPhone - 12 MINI,Mobi-Point,Tempered Glass,IPhone - 12 MINI,,2,0,0
IPhone - 12 PRO MAX,Mobi-Point,Tempered Glass,IPhone - 12 PRO MAX,,2,0,0
IPhone - XS MAX,Mobi-Point,Tempered Glass,IPhone - XS MAX,,1,0,0
IPhone - X,Mobi-Point,Tempered Glass,IPhone - X,,9,0,0
IPhone - 7,Mobi-Point,Tempered Glass,IPhone - 7,,3,0,0
IPhone - 6+,Mobi-Point,Tempered Glass,IPhone - 6+,,3,0,0
IPhone - 6,Mobi-Point,Tempered Glass,IPhone - 6,,1,0,0
IPhone - 7 / 8+,Mobi-Point,Tempered Glass,IPhone - 7 / 8+,,5,0,0
Vivo - Y51,Mobi-Point,Tempered Glass - Half Temper,Vivo - Y51,,1,0,0
Vivo - Y1,Mobi-Point,Tempered Glass - Half Temper,Vivo - Y1,,1,0,0
Vivo - Y2,Mobi-Point,Tempered Glass - Half Temper,Vivo - Y2,,10,0,0
Vivo - Y67,Mobi-Point,Tempered Glass - Half Temper,Vivo - Y67,,2,0,0
Vivo - Y53,Mobi-Point,Tempered Glass - Half Temper,Vivo - Y53,,1,0,0
Vivo - Y30,Mobi-Point,Tempered Glass - Half Temper,Vivo - Y30,,2,0,0
Vivo - Y12,Mobi-Point,Tempered Glass - Half Temper,Vivo - Y12,,2,0,0
Vivo - Y17,Mobi-Point,Tempered Glass - Half Temper,Vivo - Y17,,2,0,0
Vivo - Y19,Mobi-Point,Tempered Glass - Half Temper,Vivo - Y19,,4,0,0
Vivo - Y91,Mobi-Point,Tempered Glass - Half Temper,Vivo - Y91,,5,0,0
Vivo - Y11,Mobi-Point,Tempered Glass - Half Temper,Vivo - Y11,,5,0,0
Vivo - Y20,Mobi-Point,Tempered Glass - Half Temper,Vivo - Y20,,3,0,0
Vivo - Y55,Mobi-Point,Tempered Glass - Half Temper,Vivo - Y55,,1,0,0
Vivo - V11 PRO,Mobi-Point,Tempered Glass - Half Temper,Vivo - V11 PRO,,9,0,0
Vivo - V7,Mobi-Point,Tempered Glass - Half Temper,Vivo - V7,,4,0,0
Vivo - V20,Mobi-Point,Tempered Glass - Half Temper,Vivo - V20,,4,0,0
Vivo - V5,Mobi-Point,Tempered Glass - Half Temper,Vivo - V5,,2,0,0
Vivo - V5+,Mobi-Point,Tempered Glass - Half Temper,Vivo - V5+,,1,0,0
Vivo - V69,Mobi-Point,Tempered Glass - Half Temper,Vivo - V69,,1,0,0
Vivo - V17,Mobi-Point,Tempered Glass - Half Temper,Vivo - V17,,3,0,0
Vivo - V9,Mobi-Point,Tempered Glass - Half Temper,Vivo - V9,,10,0,0
Vivo - V7+,Mobi-Point,Tempered Glass - Half Temper,Vivo - V7+,,4,0,0
Vivo - V15 PRO,Mobi-Point,Tempered Glass - Half Temper,Vivo - V15 PRO,,1,0,0
