Product,Shop,Category,Model,Model Number,Quantity,Cost Price,Sales Price
VIVO 6D Y20,Mobi-Point,Accessories-Full temper,VIVO,,7,250,250
VIVO 6D Y30,Mobi-Point,Accessories-Full temper,VIVO,,3,250,250
VIVO 6D V7/F7,Mobi-Point,Accessories-Full temper,VIVO,,2,250,250
VIVO 6D V20/SE,Mobi-Point,Accessories-Full temper,VIVO,,5,250,250
VIVO 6D V17 PRO ,Mobi-Point,Accessories-Full temper,VIVO,,2,250,250
VIVO 6D y11,Mobi-Point,Accessories-Full temper,VIVO,,2,250,250
VIVO 6D V20 PRO,Mobi-Point,Accessories-Full temper,VIVO,,3,250,250
VIVO 6D Y91,Mobi-Point,Accessories-Full temper,VIVO,,3,250,250
OPPO 6D F12PRO/F19,Mobi-Point,Accessories-Full temper,OPPO,,4,250,250
OPPO 6D A71,Mobi-Point,Accessories-Full temper,OPPO,,1,250,250
REALME 6D REALME 6 PRO,Mobi-Point,Accessories-Full temper,REALME,,1,250,250
REALME 6D REALME 7 PRO,Mobi-Point,Accessories-Full temper,REALME,,3,250,250
REALME 6D REALME 7  ,Mobi-Point,Accessories-Full temper,REALME,,4,250,250
SAMSUNG 6D M31S,Mobi-Point,Accessories-Full temper,SAMSUNG,,1,250,250
SAMSUNG 6D A21S,Mobi-Point,Accessories-Full temper,SAMSUNG,,1,250,250
SAMSUNG 6D A10S,Mobi-Point,Accessories-Full temper,SAMSUNG,,1,250,250
SAMSUNG 6D M21,Mobi-Point,Accessories-Full temper,SAMSUNG,,1,250,250
SAMSUNG 6D S9+,Mobi-Point,Accessories-Full temper,SAMSUNG,,2,250,250
SAMSUNG 6D S8+,Mobi-Point,Accessories-Full temper,SAMSUNG,,3,250,250
SAMSUNG 6D J6+,Mobi-Point,Accessories-Full temper,SAMSUNG,,1,250,250
SAMSUNG 6D M12,Mobi-Point,Accessories-Full temper,SAMSUNG,,2,250,250
SAMSUNG 6D A20S,Mobi-Point,Accessories-Full temper,SAMSUNG,,2,250,250
SAMSUNG 6D A73,Mobi-Point,Accessories-Full temper,SAMSUNG,,1,250,250
SAMSUNG 6D J7 PRIME,Mobi-Point,Accessories-Full temper,SAMSUNG,,2,250,250
SAMSUNG 6D  J7,Mobi-Point,Accessories-Full temper,SAMSUNG,,4,250,250
SAMSUNG 6D m51,Mobi-Point,Accessories-Full temper,SAMSUNG,,3,250,250
REDMI 6D NOTE 7,Mobi-Point,Accessories-Full temper,REDMI,,1,250,250
REDMI 6D NOTE6,Mobi-Point,Accessories-Full temper,REDMI,,1,250,250
REDMI 6D NOTE5 PRO,Mobi-Point,Accessories-Full temper,REDMI,,3,250,250
REDMI 6D 9A/9C,Mobi-Point,Accessories-Full temper,REDMI,,2,250,250
REDMI 6D NOTE 8 PRO,Mobi-Point,Accessories-Full temper,REDMI,,2,250,250
REDMI 6D NOTE 9,Mobi-Point,Accessories-Full temper,REDMI,,3,250,250
REDMI 6D NOTE 8  ,Mobi-Point,Accessories-Full temper,REDMI,,2,250,250
REDMI 6D REDMI K20,Mobi-Point,Accessories-Full temper,REDMI,,3,250,250
POCO 6D POCOM3,Mobi-Point,Accessories-Full temper,POCO,,3,250,250
POCO 6D POCO X3,Mobi-Point,Accessories-Full temper,POCO,,3,250,250
ONEPLUS 6D 1+7/1+6T,Mobi-Point,Accessories-Full temper,ONEPLUS,,2,250,250
ONEPLUS 6D 1+NORD,Mobi-Point,Accessories-Full temper,ONEPLUS,,2,250,250
ONEPLUS 6D 1+7T,Mobi-Point,Accessories-Full temper,ONEPLUS,,2,250,250
ONEPLUS 6D 1+6,Mobi-Point,Accessories-Full temper,ONEPLUS,,1,250,250
ONEPLUS 6D 1+8T,Mobi-Point,Accessories-Full temper,ONEPLUS,,2,250,250
ONEPLUS 6D 1+3/#T,Mobi-Point,Accessories-Full temper,ONEPLUS,,3,250,250
ONEPLUS 6D 1+5,Mobi-Point,Accessories-Full temper,ONEPLUS,,2,250,250
ONEPLUS 6D 1+5T,Mobi-Point,Accessories-Full temper,ONEPLUS,,2,250,250
IPHONE 6D IPHONE 7+,Mobi-Point,Accessories-Full temper,IPHONE,,4,250,250
IPHONE 6D IPHONE X,Mobi-Point,Accessories-Full temper,IPHONE,,7,250,250
IPHONE 6D IPHONE 11,Mobi-Point,Accessories-Full temper,IPHONE,,4,250,250
IPHONE 6D IPHONE-7,Mobi-Point,Accessories-Full temper,IPHONE,,3,250,250
IPHONE 6D IPHONE 6+,Mobi-Point,Accessories-Full temper,IPHONE,,3,250,250
IPHONE 6D IPHONE 5,Mobi-Point,Accessories-Full temper,IPHONE,,2,250,250
IPHONE 6D IPHONE 12 MINI,Mobi-Point,Accessories-Full temper,IPHONE,,2,250,250
IPHONE 6D IPHONE 12 PRO MAX,Mobi-Point,Accessories-Full temper,IPHONE,,2,250,250
IPHONE 6D IPHONE 12,Mobi-Point,Accessories-Full temper,IPHONE,,1,250,250
